"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1950-10",,"857","6","3","0","0","0","0","0","0","38","0","0.0","0.93","86","278","1.71",,"0.0","60.0","67.9","52.1",,,,,,,"519.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1950-11",,"868","8","6","0","0","0","3","0","0","28","0","0.0","1.59","84","789","4.24",,"0.0","48.4","55.5","41.3",,,,,,,"1006.6",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1950-12",,"868","14","9","4","1","0","20","5","0","9","3","2.9","1.17","60","1722","4.32",,"3.8","34.9","40.4","29.4",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-01",,"0","10","6","0","0","0","21","5","0","11","0","0.9","1.16","64","2624","3.31",,"0.9","35.9","43.5","28.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-02",,"0","9","5","5","1","0","17","4","0","11","1","1.0","0.87","64","3430","3.05",,"1.9","36.2","43.6","28.8",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-03",,"0","11","10","2","2","0","9","0","0","24","1","1.3","2.13","62","4158","5.62",,"2.7","41.5","48.1","35.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-04",,"2","10","5","0","0","0","0","0","0","37","0","0.0","0.60","84","4518","2.44",,"0.0","53.0","61.4","44.6",,,,,,,"1149.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-05",,"59","9","6","0","0","0","0","0","1","45","0","0.0","1.21","90","4628","4.93",,"0.0","63.3","72.6","54.0",,,,,,,"981.8",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-06",,"232","13","8","0","0","0","0","0","0","51","0","0.0","0.76","89","4656","2.98",,"0.0","69.8","78.0","61.6",,,,,,,"817.7",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-07",,"598","11","6","0","0","0","0","0","5","61","0","0.0","1.83","94","0","3.67",,"0.0","76.8","85.5","68.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-08",,"895","8","6","0","0","0","0","0","1","56","0","0.0","1.00","91","0","2.53",,"0.0","74.6","83.3","65.9",,,,,,,"601.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-09",,"1032","7","3","0","0","0","0","0","0","41","0","0.0","0.21","85","43","0.70",,"0.0","68.2","77.1","59.2",,,,,,,"716.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-10",,"1057","6","4","0","0","0","0","0","0","42","0","0.0","1.95","84","265","3.77",,"0.0","58.6","65.6","51.7",,,,,,,"1003.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1951-11",,"1057","8","8","0","0","0","11","0","0","22","0","0.0","2.20","68","909","6.50",,"0.0","43.5","51.0","36.0",,,,,,,"1222.9",,,,,
